word,mean_attr,std_attr,count,pct_positive
its,-0.02518749,0.06094581,136,29.411764705882355
observed,-0.025726175,0.022910377,5,20.0
air,-0.025767341,0.013772801,5,0.0
remains,-0.025846627,0.049904615,8,50.0
as,-0.025999391,0.05093056,97,21.649484536082475
stars,-0.026254516,0.0500223,5,20.0
judgment,-0.026610965,0.046250477,6,50.0
were,-0.02730689,0.06653246,6,50.0
tell,-0.027423263,0.06881122,5,60.0
empirical,-0.027797338,0.06452077,5,60.0
direct,-0.028156895,0.042793248,11,36.36363636363637
law,-0.028170273,0.045530263,6,16.666666666666664
lies,-0.028173318,0.07161677,9,33.33333333333333
look,-0.028255299,0.10142971,6,50.0
ideas,-0.029369134,0.051743645,13,30.76923076923077
yet,-0.02956341,0.065594964,15,20.0
derived,-0.030033607,0.035408083,5,20.0
given,-0.030364538,0.026613897,5,20.0
knowledge,-0.03244442,0.04753607,75,32.0
any,-0.033243828,0.08377171,18,33.33333333333333
therefore,-0.033823334,0.049342696,16,25.0
say,-0.03389301,0.053389907,7,28.57142857142857
oak,-0.034476936,0.04974614,7,42.857142857142854
object,-0.03473259,0.054905325,9,22.22222222222222
observe,-0.035075832,0.04765384,9,22.22222222222222
become,-0.035836663,0.028745515,7,28.57142857142857
them,-0.03643833,0.062340006,17,29.411764705882355
integrity,-0.037143815,0.037587836,5,20.0
themselves,-0.037408005,0.042411074,12,16.666666666666664
common,-0.038147412,0.078923956,11,27.27272727272727
each,-0.039908003,0.028364884,9,0.0
their,-0.040014524,0.049790855,31,19.35483870967742
so,-0.04009553,0.08131013,19,31.57894736842105
meaning,-0.04039255,0.08194734,6,50.0
been,-0.04071454,0.05561963,11,36.36363636363637
himself,-0.041799985,0.02315327,5,20.0
account,-0.042219143,0.047435246,7,14.285714285714285
knows,-0.04311198,0.06660024,5,20.0
knowing,-0.043837495,0.062288415,8,12.5
state,-0.051321987,0.03356245,6,0.0
call,-0.056088522,0.08482498,6,16.666666666666664
error,-0.05944444,0.047431797,7,14.285714285714285
him,-0.05950679,0.03458088,6,0.0
found,-0.06362362,0.123771705,7,28.57142857142857
